,y_true,lrpreds,ridgepreds,lassopreds,enetpreds,rfpreds,playerID,nameFirst,nameLast
3106,8.0,11.188633918762207,30.972155448486554,27.78487758048437,31.667603204846166,14.14,averiea02,Earl,Averill
3140,0.0,4.652838706970215,10.548201085621074,12.10822826727091,12.643857623490643,2.96,avilabo01,Bobby,Avila
3141,6.0,3.292032241821289,25.500646913456258,24.397596098463183,24.157654856030632,8.34,avilabo01,Bobby,Avila
3142,19.0,19.77608299255371,43.15547863915036,39.53439012150315,37.725614527770595,18.52,avilabo01,Bobby,Avila
3162,8.0,6.250345230102539,18.097794825886048,18.219299112382142,19.498854769448272,6.56,avilemi01,Mike,Aviles
3195,15.0,11.306222915649414,26.64653070614556,25.199825738089856,30.294011845403197,12.4,ayalabe01,Benny,Ayala
3229,22.0,31.20322322845459,70.3147014578214,70.56747377903514,62.53149722561059,33.12,aybarer01,Erick,Aybar
3245,43.0,28.752968788146973,65.62694650795152,68.39932528041655,58.8338380432387,29.44,aybarwi01,Willy,Aybar
3379,19.0,13.786370277404785,32.30166289573513,31.73193132035619,30.93055298248411,13.12,baergca01,Carlos,Baerga
3416,1.0,1.9477558135986328,4.10808125632019,6.36556000953847,6.851322314475723,1.1,bagbyji01,Jim,Bagby
3426,3.0,6.672563552856445,9.21393562438012,10.103800152047462,14.747589839053802,4.0,bagbyji02,Jim,Bagby
3443,19.0,14.837417602539062,38.42237245193161,38.68081507549807,38.18772026594324,20.46,bagweje01,Jeff,Bagwell
3506,9.0,11.688298225402832,35.5307258816503,34.02454639375905,33.6592013062176,16.66,bailebo01,Bob,Bailey
3597,7.0,13.628095626831055,21.56028095522253,21.1056371797816,20.01132879270613,8.42,bailobo01,Bob,Bailor
3624,6.0,3.3932628631591797,14.744257206577313,14.77597094216927,14.08918293948149,3.66,baineha01,Harold,Baines
3680,4.0,3.2340736389160156,9.148877236443788,9.231737558091524,9.1227476130187,2.77,bakerbi01,Bill,Baker
3716,19.0,24.626325607299805,54.44609525665265,52.49702882168428,48.265756026006336,22.66,bakerdu01,Dusty,Baker
3745,36.0,38.60751438140869,72.89593788389715,75.06605367161848,67.65057633764341,39.02,bakerfr01,Home Run,Baker
3786,8.0,4.251830101013184,22.818641564021952,23.580561151385425,22.95599390018868,8.09,bakerje03,Jeff,Baker
3793,15.0,8.620261192321777,27.42603093182835,27.51353287386793,28.436145832318513,13.33,bakerjo01,John,Baker
3842,9.0,8.996651649475098,28.092957081078115,29.37176427083694,27.97490515777136,11.38,bakopa01,Paul,Bako
3993,4.0,7.293611526489258,10.626829361847545,13.256573204821343,14.952679940048263,5.92,ballne01,Neal,Ball
4048,9.0,7.2180681228637695,20.695354111945758,19.036671047531428,20.850807010508788,8.02,bandosa01,Sal,Bando
4080,23.0,21.92347812652588,34.166840985614805,39.7636444971754,45.646243645128564,21.46,banksbr01,Brian,Banks
4099,6.0,9.6133451461792,28.511466130278443,25.807220268164286,22.875504659467552,9.59,bankser01,Ernie,Banks
4137,6.0,10.8320951461792,22.413081460478907,21.81764884171408,24.84043138250764,11.09,bannial01,Alan,Bannister
4187,31.0,35.3137731552124,85.93882274256282,89.6261878470692,68.14153193883341,39.92,barajro01,Rod,Barajas
4199,40.0,26.392144203186035,48.71718946942794,49.33664953024132,39.41943279228873,22.85,barbawa01,Walter,Barbare
4260,7.0,7.79573917388916,11.293434894993435,12.031929420823271,11.538716072609859,5.09,barclge01,George,Barclay
4281,11.0,6.074544906616211,18.819944837174525,21.388297947326247,20.25727556152306,7.41,bardjo01,Josh,Bard
4300,7.0,6.356366157531738,21.734774755779554,21.740079664085616,21.909550375372987,9.17,barfije01,Jesse,Barfield
4389,16.0,18.494465827941895,37.77015844859994,39.46805025465736,41.775689448321884,21.23,barmecl01,Clint,Barmes
4425,25.0,30.313111305236816,59.88041914456499,61.731518674117225,61.2065022134052,32.39,barneda01,Darwin,Barney
4502,4.0,5.922978401184082,10.124546379802133,10.964028908207194,16.188345282677354,5.08,barnesk01,Skeeter,Barnes
4524,30.0,27.056533813476562,57.71269916874576,56.9581704158592,46.020755722990444,23.05,barnhcl01,Clyde,Barnhart
4628,6.0,5.119028091430664,10.26132415635514,10.383293433500334,16.91512409020418,6.01,barrejo01,Johnny,Barrett
4629,6.0,6.080893516540527,8.24254470388065,11.988488187336507,13.300962228747508,5.2,barrejo01,Johnny,Barrett
4725,2.0,17.223875045776367,24.018837769950096,26.645222844729716,25.792055118162427,12.54,barryja01,Jack,Barry
4745,5.0,7.908613204956055,11.437632155198436,14.152085170787345,14.302857262949185,4.81,barrysh01,Shad,Barry
4746,11.0,21.0487117767334,31.984417865251892,35.952999009128845,32.03736102521139,22.53,barrysh01,Shad,Barry
4803,7.0,8.488916397094727,20.5540556522214,19.40255326594527,19.166829769521083,7.03,bartobo01,Bob,Barton
4816,5.0,0.5720939636230469,11.188803235343492,11.667152703044533,11.951370876721406,3.3,bartoda02,Daric,Barton
4884,32.0,31.07948112487793,65.46820091045997,65.41668864861117,64.59298676533261,33.5,basske01,Kevin,Bass
4893,24.0,23.8854923248291,36.93442636916363,39.60168174576921,38.65197869523283,23.13,bassljo01,Johnny,Bassler
4945,17.0,20.681058883666992,53.645368571915384,48.60285401436139,39.44252299351757,20.98,batemjo01,John,Bateman
4971,29.0,25.838061332702637,37.076370458054384,42.54386938325978,44.951801667584455,25.22,batesjo02,Johnny,Bates
4973,15.0,24.418023109436035,33.66410502542824,40.86235545252191,48.138303949849,26.32,batesjo02,Johnny,Bates
5020,16.0,11.710673332214355,28.61331603554312,28.92564871884177,29.74187526933192,14.3,batisto01,Tony,Batista
5035,8.0,5.630179405212402,16.556935191076853,15.323003116076983,19.599892288077392,7.38,batteea01,Earl,Battey
5083,18.0,14.578227043151855,36.59602221236279,33.20597010684814,31.4345216411306,12.42,bauerha01,Hank,Bauer
5131,8.0,11.934026718139648,15.534858733589555,16.926027529275935,16.842054631095408,6.35,baumapa01,Paddy,Baumann
5185,65.0,59.956618309020996,129.33582033210388,126.92044653282997,121.29848173189713,64.42,bautida01,Danny,Bautista
5226,37.0,26.647703170776367,60.99325983762464,66.01933896939018,64.94697096578561,31.38,bautijo02,Jose,Bautista
5227,6.0,0.9596185684204102,12.588199201360197,12.685176888020294,24.987386166572875,9.42,bautijo02,Jose,Bautista
5262,20.0,24.508533477783203,64.10874557556289,68.37018382930677,57.38543885825609,27.66,bayja01,Jason,Bay
5286,34.0,28.033982276916504,73.04807096172038,67.44572029876196,59.716711934207176,28.85,baylodo01,Don,Baylor
5377,3.0,4.695859909057617,9.675778365424485,10.894031617301156,10.268726867207402,2.24,beardge01,Gene,Bearden
5438,14.0,10.340113639831543,21.0610088757818,19.509740528731456,21.33087245662862,6.1,beaucji01,Jim,Beauchamp
5450,22.0,22.762657165527344,33.50501050939618,38.27851584535016,37.34098271591979,21.93,beaumgi01,Ginger,Beaumont
5500,19.0,12.702192306518555,26.750595592231335,26.762135166061405,25.483018978339814,10.78,beckcl01,Clyde,Beck
5510,35.0,46.87324810028076,89.13601947063643,99.13772879097581,92.69291487633032,53.6,beckebe01,Beals,Becker
5550,2.0,3.2468252182006836,9.88848945203247,11.069878910180456,13.428305547783712,4.14,beckejo02,Josh,Beckett
5565,34.0,27.311678886413574,73.10972600725091,70.90558603034881,64.42027836039034,30.9,beckeri01,Rich,Becker
5566,5.0,1.0741233825683594,12.449536962268844,13.048451068213705,19.46162159928054,6.02,beckeri01,Rich,Becker
5576,38.0,31.96091938018799,59.68535840305658,65.6182265292774,52.73411828343978,34.8,beckfr02,Fred,Beck
5617,7.0,13.928958892822266,16.644827037332348,18.06924914753724,15.865575931727548,6.51,becklja01,Jake,Beckley
5710,1.0,8.128058433532715,8.235087320653108,10.759134764592474,13.643253964722259,4.52,beebefr01,Fred,Beebe
5807,4.0,7.755769729614258,11.426113977813209,12.673893596281587,14.940753415886306,4.1,belanma01,Mark,Belanger
5899,9.0,12.162467002868652,28.65138114023335,26.89708030512637,29.103893240700966,11.98,bellbe01,Beau,Bell
5921,3.0,7.74334716796875,14.749563253915717,15.031917605491522,16.920027377722146,6.85,bellbu01,Buddy,Bell
5941,29.0,23.239432334899902,50.30972779457109,50.155475620972105,52.69040826558385,24.57,bellda01,David,Bell
5942,34.0,41.084463119506836,79.69244605604484,79.60600532951645,79.69128408925437,39.32,bellda01,David,Bell
5953,13.0,11.007583618164062,39.752381558479335,39.12640016919531,32.136900520368414,15.16,bellde01,Derek,Bell
5965,103.0,91.88980007171631,196.57101796179316,192.41016241371227,192.6948065432013,97.77,belleal01,Albert,Belle
6005,64.0,56.48069667816162,123.82319499988637,124.49418312827851,111.77811851043461,58.48,bellge02,George,Bell
6090,19.0,17.322093963623047,34.16416609790741,36.640765238743114,39.08200874337004,17.52,belliro01,Ronnie,Belliard
6108,3.0,6.178827285766602,14.64962625631815,16.216406048170917,20.084268899718943,8.13,bellja01,Jay,Bell
6141,32.0,33.834166526794434,80.26790517530435,74.22308816124092,63.72616064172019,34.1,bellle01,Les,Bell
6201,65.0,65.0669937133789,141.00528829661206,145.22496092495828,138.2411516440999,70.69,beltrad01,Adrian,Beltre
6224,51.0,60.97425365447998,129.39672093335497,132.65917529553863,119.29515146462977,61.46,beltrca01,Carlos,Beltran
6250,16.0,16.33466911315918,29.13082578319942,31.57314813324616,26.501242550634984,12.16,bemisha01,Harry,Bemis
6259,4.0,5.639333724975586,14.349589561168369,15.065453964722579,17.98697355128509,6.17,benarma01,Marvin,Benard
6280,54.0,45.6077938079834,103.98248741772784,93.48801953034942,85.20867564903118,45.91,benchjo01,Johnny,Bench
6309,6.0,7.985896110534668,23.576056645322915,22.519147351715336,20.765194131168414,9.34,benedbr01,Bruce,Benedict
6357,15.0,16.622462272644043,34.350925924451666,33.43292923751152,27.766737039224736,12.29,bengobe01,Benny,Bengough
6378,8.0,12.996574401855469,19.405576253813802,19.61849158000648,25.53073491611649,9.93,beniqju01,Juan,Beniquez
6413,3.0,5.070920944213867,14.417868265924252,14.861611667476314,18.604680938816564,6.0,benjami01,Mike,Benjamin
6563,1.0,7.82083797454834,8.25580009597649,9.582133044308563,12.075600970295056,2.63,bentola01,Larry,Benton
6580,4.0,10.492714881896973,11.986288441338203,13.649580524317049,14.841156320119037,4.99,bentoru01,Rube,Benton
6614,2.0,-2.523564338684082,10.773034245476012,10.591438788461389,8.61829307578546,2.7,berarjo01,Johnny,Berardino
6623,23.0,21.22103786468506,60.99830397961783,57.190414236925804,47.11833727336233,24.93,berbelo01,Lou,Berberet
6673,23.0,15.034055709838867,34.56139431868545,35.13163402891243,31.871705600684926,15.7,bergda01,Dave,Berg
6684,10.0,12.32650089263916,17.846637023587387,20.5238928675721,19.686608279782796,10.01,bergebi01,Bill,Bergen
6690,2.0,13.181438446044922,13.751489135354806,13.784272301699048,18.186778801148957,6.68,bergebo01,Boze,Berger
6733,5.0,12.242022514343262,18.167292132783523,16.44563441846671,23.39869865519846,8.14,bergewa01,Wally,Berger
6766,10.0,14.19334602355957,29.879659130951055,28.848079085112456,27.35399600772271,12.19,bergmda01,Dave,Bergman
6822,34.0,25.468581199645996,56.77399722469464,60.433813996318236,51.921161785200496,30.39,berkmla01,Lance,Berkman
6842,5.0,-1.7224159240722656,10.663452962205191,10.286335421590522,14.327108422765399,4.9,bernaro01,Roger,Bernadina
6930,2.0,6.941641807556152,7.016290401806732,8.32831222649364,9.353163261893364,2.21,berrera01,Ray,Berres
6942,1.0,0.05744457244873047,7.015270564902146,8.155089255099025,9.681602764544465,1.65,berroan01,Angel,Berroa
6956,5.0,3.8608179092407227,8.724576854254433,9.590432117968774,16.04829045944504,3.9,berroge01,Geronimo,Berroa
6987,23.0,16.78315830230713,43.55184181315628,42.39135991945264,38.295135050710016,18.69,berryda01,Damon,Berryhill
7009,1.0,5.15854549407959,8.282444039502899,9.009063219767317,11.805834121954028,2.31,berryke01,Ken,Berry
7034,2.0,-0.20068359375,11.98054020458558,12.533143737880735,14.333892542415484,3.88,berryse01,Sean,Berry
7085,6.0,12.329500198364258,10.21413208429994,12.96090119414016,23.22966791416338,10.34,beschbo01,Bob,Bescher
7131,46.0,43.87105655670166,92.09871326897272,100.1471136519118,77.37185145395537,42.19,betanyu01,Yuniesky,Betancourt
7175,1.0,8.310986518859863,8.98583885269155,10.041863065028,10.410323351571655,2.53,bettshu01,Huck,Betts
7202,25.0,17.27114486694336,44.46213536760416,41.60295530609836,40.681239998744786,19.55,bevacku01,Kurt,Bevacqua
7267,49.0,56.370853424072266,116.45755433321753,113.78678312136958,117.24023658037343,55.96,bicheda01,Dante,Bichette
7339,4.0,11.212592124938965,18.87737797288654,21.80920712312041,23.102239369117733,9.88,bigbeca01,Carson,Bigbee
7369,50.0,59.84130573272705,116.54022290162601,114.16615525511958,119.7310419254058,57.43,biggicr01,Craig,Biggio
7387,18.0,12.845879554748535,29.89198321032993,27.621032448541676,26.56172853684494,9.77,biittla01,Larry,Biittner
7413,38.0,35.358558654785156,88.46374437210869,80.5887620440424,84.27148743262265,40.07,bilkost01,Steve,Bilko
7560,14.0,17.540193557739258,37.63315553664269,37.890757886036326,35.34584814940106,15.01,bishoma01,Max,Bishop
7569,10.0,18.264739990234375,27.558131164946772,27.81793722101301,30.793018597945043,13.1,bissode01,Del,Bissonette
7716,29.0,25.442238807678223,61.836658876715305,55.97514571960001,50.721412972989654,25.45,bladera01,Ray,Blades
7730,4.0,3.5935211181640625,4.546673506128833,6.450490863228186,10.19156238319038,1.6,blaehge01,George,Blaeholder
7768,20.0,28.063098907470703,52.4898503758244,57.8800699110324,52.30108546400847,29.47,blairwa01,Walter,Blair
7797,26.0,26.706917762756348,51.44953327491721,54.44574378879723,58.76554877839592,28.8,blakeca01,Casey,Blake
7833,7.0,6.308772087097168,14.375163040737625,16.13842704310953,19.758373477951736,5.78,blaloha01,Hank,Blalock
7845,13.0,9.971064567565918,30.09300015202504,31.278786908405266,27.334304915095903,14.17,blancan01,Andres,Blanco
7861,12.0,12.905524253845215,30.54910688304625,31.543957176464446,34.054013429652166,14.18,blancgr01,Gregor,Blanco
7877,14.0,3.4096498489379883,20.17399254752357,22.077544614629915,18.80634442769818,9.58,blanche01,Henry,Blanco
7886,11.0,11.232731819152832,33.02752792213336,29.416843813367315,25.66222916566154,9.84,blancjo01,Johnny,Blanchard
7927,12.0,16.526179313659668,39.93063940764609,37.41125793660323,32.580839749380296,15.12,blankla01,Larvell,Blanks
7933,23.0,19.768342971801758,38.5013702733636,37.99489953942,48.786362736506604,25.47,blankla02,Lance,Blankenship
7987,11.0,13.75461196899414,27.241992362245014,26.75128786173277,27.997565523655208,14.79,blasido01,Don,Blasingame
8034,26.0,26.109362602233887,66.50981577262729,66.25489765889091,59.171857838593226,28.03,blausje01,Jeff,Blauser
8060,9.0,8.712911605834961,31.324406571833535,29.19691715173269,25.943471711682918,11.53,blefacu01,Curt,Blefary
8099,14.0,12.34183120727539,17.46734424579445,20.086859696289213,20.788301623980356,9.06,blockbr01,Bruno,Block
8114,22.0,19.034619331359863,50.73058897068295,45.36290895985421,37.99862997854602,17.73,blombro01,Ron,Blomberg
8130,1.0,3.113161087036133,10.371072933889963,9.939127404400374,9.935392041308383,2.37,bloodji01,Jimmy,Bloodworth
8147,4.0,1.8976106643676758,9.019606247371414,10.164634982184438,11.326229156208498,2.58,bloomwi01,Willie,Bloomquist
8216,3.0,-1.5590572357177734,10.510952759005654,10.428913699652274,11.77633841816563,2.81,bluevi01,Vida,Blue
8279,2.0,4.5978193283081055,14.188339585626245,14.822340974646053,19.617349120103498,6.06,bocachi01,Hiram,Bocachica
8291,5.0,4.612458229064941,14.55187151075203,14.702836954695925,13.37094770461644,4.51,boccajo01,John,Boccabella
8306,43.0,34.558815002441406,80.31374696983431,76.49103043946559,68.23967726848912,34.33,bochtbr01,Bruce,Bochte
8321,11.0,5.641775131225586,19.526759683396005,19.35389422742364,23.04782818146254,10.02,bochybr01,Bruce,Bochy
8357,12.0,11.53729248046875,17.441593417268347,18.172402599992314,18.32698832919505,7.45,bodiepi01,Ping,Bodie
8364,79.0,62.365055084228516,127.60521937300692,126.7054165361813,121.66724092075268,67.46,boeckto01,Tony,Boeckel
8402,5.0,-1.1984100341796875,14.583131502386081,14.741440525033319,13.388350363170073,5.23,boescbr01,Brennan,Boesch
8472,29.0,34.99649238586426,70.74378125072283,71.06595215516967,69.40287241024363,32.06,boggswa01,Wade,Boggs
8502,11.0,14.662829399108887,29.567475049151565,30.404777577857203,27.120578649882848,11.54,bohnesa01,Sam,Bohne
8503,5.0,10.047947883605957,14.964113082897402,16.569093017068884,18.172355913255217,6.33,bohnesa01,Sam,Bohne
8583,18.0,18.595922470092773,42.262568502926484,37.92133190631063,31.825360707566773,14.6,bollifr01,Frank,Bolling
8593,0.0,1.9705486297607422,6.887061669773566,8.143417842421272,13.111946656653064,3.02,bollimi01,Milt,Bolling
8659,66.0,73.672682762146,179.09303219109796,171.4845320271357,171.7976040369525,72.53,bondsba01,Barry,Bonds
8674,19.0,17.54813289642334,49.38356627296621,45.14832068023124,46.66593480775543,21.46,bondsbo01,Bobby,Bonds
8748,3.0,0.4435882568359375,10.434301831657667,10.04302407102751,12.411162176352192,2.99,bonifem01,Emilio,Bonifacio
8770,21.0,15.57606315612793,45.41765326396789,44.8275428534421,41.79245358929604,20.97,bonilbo01,Bobby,Bonilla
8776,3.0,8.2494535446167,15.584874979336021,16.05245571187257,20.46570880344176,7.02,bonilju01,Juan,Bonilla
8819,20.0,30.38735866546631,63.1380761596308,62.38121243172647,61.188712615175774,33.09,bonurze01,Zeke,Bonura
8820,45.0,36.596434593200684,79.70793567252736,78.4072417997311,70.16058349484362,38.53,bonurze01,Zeke,Bonura
8879,9.0,10.378302574157715,16.994026301604816,17.64312469782677,19.014599044505204,10.13,boonebo01,Bob,Boone
8894,34.0,33.751959800720215,68.87000476375162,68.00682799146833,70.47073245578196,33.36,boonebr01,Bret,Boone
8933,11.0,6.895195960998535,16.360319107698288,15.832800639395643,19.220775147518456,7.6,boonera01,Ray,Boone
9013,49.0,30.652775764465332,64.92832772544492,63.154022295135675,53.087759209937225,32.58,bordafr01,Frenchy,Bordagaray
9037,7.0,9.541914939880371,22.543465050405644,22.442986642480633,23.645659990571346,10.78,bordepa01,Pat,Borders
9052,54.0,35.05467891693115,72.27566673978987,71.80589138245989,72.24892833286769,35.91,bordimi01,Mike,Bordick
9071,14.0,9.296944618225098,25.43740901023248,24.957641204651225,23.688995158679145,8.73,borgmgl01,Glenn,Borgmann
